,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Use
505,nan,nan,'Legal','Other Supporting Services-Central *','General',nan,nan,'Mail/Messenger Service','Rent/Utilities','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Support Services - Central','Communications *','LEGAL SERVICES',nan,nan,nan,499.46,'Business Services'
506,nan,nan,'Human Resources','SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Leadership & Management','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,47.31,'NO_LABEL'
507,nan,nan,'Teacher Compensation','NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1337.55,'Instruction'
508,nan,'Public Relations Department','Communications','Community Services','General Operating Fund',nan,'Undistributed','Miscellaneous Operating Costs','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified',nan,'Miscellaneous Operating Costs',nan,nan,nan,nan,18942.23,'Leadership'
509,nan,nan,'Student Assignment','NON-PROJECT',nan,"'Exec Dir,Off of New Schl '",'SCHOOL CHOICE','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Coordinator/Manager','NO_LABEL',"'PLANNING,RESEARCH,DEVELOPMENT'",'Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,10345.0412,'Leadership'
510,nan,nan,'Curriculum Development','IMPROVEMENT OF INSTR SERV','RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12','Non-School','Leadership & Management','NO_LABEL','SMALLER LEARNING COMMUNITIES',nan,nan,nan,nan,nan,354.65,'NO_LABEL'
511,nan,nan,'NO_LABEL','Instructional Staff Training Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Certificated Employees Salaries And Wages','TITLE I-HQT PD SET-ASIDE',nan,nan,nan,-1044083.68,'NO_LABEL'
512,nan,nan,'Aides Compensation','SPECIAL ED. - SEVERE NEEDS',nan,'Elementary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','SPECIAL EDUCATION','School','School Reported','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,3608.75,'Instruction'
513,0.004310345,nan,'Substitute Compensation','NON-PROJECT',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','School','School Reported','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Turnaround',nan,110.4879385,'Instruction'
514,nan,nan,'NO_LABEL','State and Federal Projects Coordination Services*','School to Work',nan,nan,'Other Utilities Services *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Administration','Utilities Services','ITEMAI-CITY-YTH EMP & OPP ',nan,nan,nan,-403.9,'NO_LABEL'
515,nan,nan,'Special Population Program Management & Support',nan,'INTRADISTRICT FUNDS',nan,'EARLY STAGES','CONTRACTUAL SERVICES - OTHER','Contracted Services','PreK-12 Operating','CONTRACTUAL SERVICES - OTHER','Non-Position','PreK','SPECIAL EDUCATION LOCAL','Non-School','Shared Services','Special Education','EARLY CHILDHOOD DIAGNOSTIC CENTER',nan,nan,'EARLY STAGES',nan,nan,5438.4708,'ISPD'
516,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Teacher Retirement','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','Accelerated Education','NO_LABEL','NO_LABEL','NO_LABEL',nan,'Teacher Retirement',nan,'Payroll',nan,'Multilingual Dist Prof Development',12.38,'NO_LABEL'
517,0,nan,'Enrichment',nan,'General Purpose School',nan,nan,'Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','CCOACH CERT TCHRACCT','Club Advisor/Coach','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',4245.63,'Pupil Services & Enrichment'
518,1,nan,'Teacher Compensation',nan,'General Purpose School','TCHER 2ND GRADE',nan,'Personal Services - Teachers','Base Salary/Compensation','PreK-12 Operating','TEACHER','Teacher','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',67827.94,'Instruction'
519,1,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,25032.38,'NO_LABEL'
520,nan,nan,'Curriculum Development','ELPA - PRESCHOOL PROG',nan,'SFPC Liaison Specialist ','EARLY CHILDHOOD EDUCATION','EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Other','PreK','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','PreK','ITEMGD PRESCHOOL PROGRAM',nan,'INSTRUCTIONAL STAFF','EARLY EDUCATION','n/a',nan,125.81,'ISPD'
521,nan,nan,'Facilities & Maintenance',nan,'LOCAL FUND',nan,'ARTS CENTER','SUNDAY PAY','Rent/Utilities','PreK-12 Operating','ADDITIONAL GROSS PAY','Non-Position','NO_LABEL','NON-INSTRUCTIONAL SUPPORT SERVICES','Non-School','Leadership & Management','Unspecified','LOCAL',nan,nan,'PUBLIC UTILITIES',nan,nan,251.64,'O&M'
522,nan,nan,'Curriculum Development','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Printing and Binding','Contracted Services','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'School','School Reported','Unspecified','Support Services - Instructional Staff','Contracted Craft Or Trade Services *',' HIST SOC-CONG ACAD',nan,nan,nan,-22.86,'ISPD'
523,1,nan,'Governance',nan,'General Purpose School','BOARD MEMBER DISTRICT ',nan,'Personal Services - Other Personnel','Base Salary/Compensation','PreK-12 Operating','BOARD MEMBER','(Exec) Director','Non PreK','District Administration','Non-School','Leadership & Management','Unspecified',nan,nan,nan,nan,nan,'Board of Education',23299.94399,'Leadership'
524,1,nan,'Social & Emotional',nan,nan,'Director','OFFICE OF YOUTH ENGAGEMENT',nan,'Base Salary/Compensation','PreK-12 Operating',nan,'(Exec) Director','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified','LOCAL',nan,nan,'STUDENT ATTENDANCE',nan,nan,120356.907,'Pupil Services & Enrichment'
525,nan,nan,'Aides Compensation','ELPA - PRESCHOOL PROG',nan,'Reading & Writing Asst ','EARLY CHILDHOOD EDUCATION','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','TA','PreK','EARLY CHILDHOOD','Non-School','Shared Services','PreK','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION','EARLY EDUCATION','n/a',nan,357.41136,'Instruction'
526,nan,nan,'Physical Health & Services','NON-PROJECT',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Speech Therapist','NO_LABEL','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1368.14,'Pupil Services & Enrichment'
527,1,nan,'Teacher Compensation',nan,'General Fund','Teacher-Inter Relatated Resource',nan,nan,'NO_LABEL','PreK-12 Operating','INTERRELATED ','Teacher','NO_LABEL','SPECIAL EDUCATION CATEGORY III','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,86952.7,'Instruction'
528,nan,nan,'Insurance','STAFF SERVICES                ','GENERAL FUND                  ',nan,'RISK MANAGEMENT               ','RENTALS                       ','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'RISK MANAGEMENT               ',nan,nan,nan,566.91,'Business Services'
529,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,"'Manager, Facility I '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Coordinator/Manager','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-44.5,'O&M'
530,nan,nan,'Data Processing & Information Services','Office of the Superintendent Services*','General',nan,nan,'Non-Certificated Meeting Expense','Travel & Conferences','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Support Services - Administration','Travel Mileage/Meeting Expense *','STUDENT ADMINISTRATIVE SV',nan,nan,nan,500.65,'Business Services'
531,nan,nan,'NO_LABEL','INSTRUCTION','General Fund',nan,nan,'RENTAL OF LAND OR BUILDINGS','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ','NO_LABEL','NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,739.22,'NO_LABEL'
532,nan,nan,'Social & Emotional','IDEA ARRA',nan,'Psychologist ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','Non-School','School on Central Budgets','Special Education','ARRA - STIMULUS',nan,'STUDENTS',nan,'n/a',nan,668.95,'Pupil Services & Enrichment'
533,nan,nan,'Food Services','NON-PROJECT',nan,"'Manager, Food Service III '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Coordinator/Manager','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-4.1,'O&M'
534,nan,nan,'School Administration','SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','CLERICAL ASST I               ','School ','BONUSES                       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Sec/Clerk/Other Admin','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,115.65,'Leadership'
535,nan,nan,'NO_LABEL','Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Student Transportation Purchased from Other Sources','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Pupil Transportation *',' TITLE I PI+HOMELESS',nan,nan,nan,-466.38,'NO_LABEL'
536,nan,nan,'Professional Development','IMPROVEMENT OF INSTR SERV','General Fund',nan,'PROF. LEARNING','COMMUNICATION','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','STAFF DEVELOPMENT','Non-School','Shared Services','NO_LABEL','STAFF DEVELOPMENT',nan,nan,nan,nan,nan,175.73,'NO_LABEL'
537,1,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,26960.20164,'NO_LABEL'
538,nan,nan,'Teacher Compensation','NON-PROJECT',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,873.78,'Instruction'
539,nan,nan,'Social & Emotional','NON-PROJECT',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,1054.50672,'Pupil Services & Enrichment'
540,0.03,'All Campus Payroll','Data Processing & Information Services','Instruction','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER MASTER','Other','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',2654.93741,'Business Services'
541,0,nan,'NO_LABEL',nan,'School Federal Projects','SECRETARY ADMIN',nan,'Personal Services - Other Personnel','NO_LABEL',"'Operating, Not PreK-12'",'ADM SECRETARY','NO_LABEL','NO_LABEL','Instruction - Regular','NO_LABEL','NO_LABEL','NO_LABEL',nan,nan,'ADULT EDUCATION',nan,nan,'Adult Education',8729.876989,'NO_LABEL'
542,nan,nan,'Other Non-Compensation','SPECIAL ED - EARLY CHILDHOOD',nan,'(blank)','SPECIAL EDUCATION','OTHER PROFESSIONAL SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','SPECIAL EDUCATION','Non-School','Shared Services','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SPECIAL ED SYSTEMWIDE COSTS','n/a',nan,637192.42,'Instruction'
543,nan,nan,'Professional Development','TEACHER INCENTIVE FUND (TIF)',nan,"'Principal, Elementary '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Principal','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TIF GRANT','n/a',nan,437.26,'ISPD'
544,nan,nan,'Facilities & Maintenance','Facilities Maintenance And Operations','General Operating Fund',"'M.O.C.MAINT., TEMPORARY'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','MO CAMPBELL OPTIONAL PAY','Sec/Clerk/Other Admin','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','GAME WORK',nan,nan,nan,53.6,'O&M'
545,0.01,'All Campus Payroll','Data Processing & Information Services','Instructional Resources And Media Services','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER BACHELOR','Other','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Allotment Supplement (Career Ladder) Supplement','REGULAR PAY',nan,nan,'Undistributed',962.6513406,'Business Services'
546,nan,nan,'Untracked Budget Set-Aside','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Purchased Services','Contracted Services','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Shared Services','Unspecified','Support Services - Instructional Staff','Purchased Services','CC/OH SKILL BANK',nan,nan,nan,40397.91,'Untracked Budget Set-Aside'
547,nan,nan,'Human Resources','NON-PROJECT',nan,'Extended Day Kinder Asst ','HUMAN RESOURCES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','STAFF SERVICES','Non-School','Shared Services','Unspecified','LEVY OVERRIDE',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,56.5,'Business Services'
548,nan,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','NON-CAPITALIZED COMPUTER HARDW','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'GROWTH                        ',nan,nan,nan,570.21,'Business Services'
549,nan,nan,'Professional Development','School Leadership','Campus Activity Funds',nan,'School ','Miscellaneous Operating Costs','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'Food - Inservice',nan,nan,nan,nan,411.73,'ISPD'
550,nan,nan,'Aides Compensation','NON-PROJECT',nan,"'Spec Ed Asst, Mild/Moderate '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','TA','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-3.07,'Instruction'
551,0.040440049,nan,'Aides Compensation','TITLE I',nan,'General Assignment ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,755.0456467,'Instruction'
552,nan,'Gifted And Talented','Instructional Materials & Supplies','Instruction','General Operating Fund',nan,'School ','General Supplies','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Gifted And Talented','School','School Reported','Gifted',nan,'General Supplies',nan,nan,nan,nan,38.58,'Instruction'
553,nan,nan,'Social & Emotional','TITLE I - CENTRAL PROGRAMS',nan,'Social Worker ',nan,'EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Social Worker','NO_LABEL','SOCIAL WORK SERVICES','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'STUDENTS','GRANTS MANAGEMENT','Regular',nan,83.9,'Pupil Services & Enrichment'
554,0,nan,'Substitute Compensation',nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','Substitute Compensation','PreK-12 Operating','SUBSTITUTE TEACHER','Substitute','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',353.9999,'Instruction'
555,nan,'Campus Overtime','Untracked Budget Set-Aside','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','Benefits','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK','Basic Educational Services','Non-School','School on Central Budgets','Unspecified','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',330.59,'Untracked Budget Set-Aside'
556,nan,nan,'Curriculum Development','STATE - GIFTED AND TALENTED',nan,'(blank)','GIFTED AND TALENTED','BOOKS AND PERIODICALS','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','Gifted','STATE AND LOCAL GDPG FUND',nan,'INSTRUCTIONAL STAFF','GIFTED AND TALENTED','n/a',nan,12437.75,'ISPD'
557,0,'TECHNOLOGY','Data Processing & Information Services',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Information Technology','Other Compensation/Stipend','PreK-12 Operating','TIME CARD CERTIFIEDAddl','Non-Position','Non PreK','Operations','Non-School','Shared Services','Unspecified',nan,nan,nan,nan,nan,'Technology',16729.38264,'Business Services'
558,0,nan,'Substitute Compensation','INST STAFF TRAINING SVCS      ','FED THRU STATE-CASH ADVANCE   ','SUB TEACHER ALL               ','FED COMPENSATORY ED PROG      ','OTHER PERSONAL SERVICES       ','Substitute Compensation','PreK-12 Operating',nan,'Substitute','NO_LABEL',nan,'Non-School','School on Central Budgets','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,37.45,'Instruction'
559,0.11,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',6276.410015,'Instruction'
560,nan,nan,'Governance','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Classroom Supplies','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Support Services - Instructional Staff','General Supplies *','ITEMR OHSTI',nan,nan,nan,-16268.87,'Leadership'
561,nan,nan,'Teacher Compensation','TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','PreK','EARLY CHILDHOOD','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,5024.06,'Instruction'
562,nan,nan,'Food Services','NON-PROJECT',nan,'Food Service Worker I ','FOOD AND NUTRITION SERVICES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD PREPARATION/SERVING','Non-School','School on Central Budgets','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,6.1,'O&M'
563,nan,nan,'Other Compensation','NON-PROJECT',nan,'Program Specialist ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1221.68,'Instruction'
564,nan,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ','SECRETARY II                  ','GROWTH                        ','BONUSES                       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Sec/Clerk/Other Admin','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,57.7,'Business Services'
565,nan,nan,'Instructional Materials & Supplies','ELPA - PRESCHOOL PROG',nan,'(blank)',nan,'BOOKS AND PERIODICALS','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','PreK','EARLY CHILDHOOD','School','School Reported','ELL','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2245.92,'Instruction'
566,nan,nan,'Facilities & Maintenance','MAINTENANCE AND OPERATING','General Fund',nan,nan,'ENERGY','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,250287.58,'NO_LABEL'
567,nan,nan,'Teacher Compensation','NON-PROJECT',nan,'Teacher on Special Assgnmt ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','PreK','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','PreK','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-401.47,'Instruction'
568,nan,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, PRE-K BILINGUAL'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','PreK','PRE-K','School','School Reported','ELL','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4168.059992,'Instruction'
569,1,'Custodial Department','Facilities & Maintenance','Facilities Maintenance And Operations','General Operating Fund','CUSTODIAN REGULAR','School ','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','ANY CUS WHO IS NOT A SUPER ','Custodian','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,24646.85706,'O&M'
570,1,'All Campus Payroll','Student Assignment','School Leadership','General Operating Fund',"'CLERICAL, SCHOOL ADMIN.'",'School ','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','REGISTRAR','Sec/Clerk/Other Admin','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Undistributed',29672.55975,'Leadership'
571,nan,nan,'Library & Media','NON-PROJECT',nan,'Library Tech I ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Librarian','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-262.19,'Instruction'
572,nan,'Instruction And Curriculum','Professional Development','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Consultants','Contracted Services','PreK-12 Operating',nan,'NO_LABEL','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',nan,'Consultants',nan,'CONTRACTED SERVICES',nan,nan,480.07,'ISPD'
573,0,nan,'Other Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ','CLERICAL/TCHR ASST SUB        ','School ','OTHER PERSONAL SERVICES       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,442.93,'Instruction'
574,nan,nan,'School Supervision',nan,nan,nan,'ADMIN. SERVICES',nan,'Other Compensation/Stipend','PreK-12 Operating',nan,'Substitute','NO_LABEL',nan,'Non-School','NO_LABEL','NO_LABEL',nan,nan,nan,nan,nan,nan,999.19,'NO_LABEL'
575,0,nan,'Substitute Compensation',nan,'ITEMFA Schools Partnership',nan,nan,'Personal Services - Substitute Teachers Certified','Substitute Compensation','PreK-12 Operating','SUBSTITUTE TEACHER','Substitute','PreK','Support - Regular Instruction','School','School Reported','Unspecified',nan,nan,'PRE KINDERGARTEN',nan,nan,'Targeted Pre-K Initiative',70.4699,'Instruction'
576,nan,nan,'Enrichment','NON-PROJECT',nan,'Asst Coach ','ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Club Advisor/Coach','NO_LABEL','MALE ATHLETICS/SPORTS ACTIVITI','Non-School','School on Central Budgets','Unspecified','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,3525.066,'Pupil Services & Enrichment'
