,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Unnamed: 0
566,0.30158533881999999,nan,'Student Transportation','NON-PROJECT',nan,'Bus Driver Less than  Yr ','GARAGE','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','TRANSPORTATION-OPERATIONS','Non-School','Shared Services','Special Education','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,9967.9071038799993,163600
567,nan,'Instruction And Curriculum','Professional Development','Curriculum Development And Instructional Staff Dev','Esea Title Ii Part A Teacher & Principal Training','SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER MASTER','Instructional Coach','Non PreK','Accelerated Education','School','School Reported','At Risk','Training And Recruiting','Extra Duty Wages','MISCELLANEOUS ',nan,nan,nan,1044.13129093,163711
568,0.85476190476199998,nan,'Aides Compensation','ELPA - PRESCHOOL PROG',nan,'Early Childhood Education ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','TA','PreK','EARLY CHILDHOOD','School','School Reported','ELL','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,18719.226373400004,163840
569,nan,nan,'Security & Safety','Security And Monitoring Services','Campus Activity Funds','SECURITY OFFICER TEMP','School ','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','POLICE TEMP','School Monitor/Security','Non PreK','Undistributed','School','School Reported','Unspecified','High School','Extra Duty Pay/Overtime For Support Personnel','MISCELLANEOUS ',nan,nan,nan,149.68000000000001,164055
570,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','SUPPLEMENTAL PERIODICALS','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,753.27000000000032,164232
571,0.0,nan,'Teacher Compensation',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Other Compensation','Other Compensation/Stipend','PreK-12 Operating','Career Ladder I/Ext Learning','Teacher','Non PreK','Instruction - SPED','Non-School','Shared Services','Special Education',nan,nan,nan,nan,nan,'Special Education Instruction',518.46000000000004,164317
572,nan,'All Campus Payroll','Professional Development','Instruction','General Operating Fund','SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER MASTER','Instructional Coach','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','At Risk','State Ed. Allotment','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,3127.3867135100004,164774
573,nan,nan,'NO_LABEL','OPERATION OF PLANT            ','CONVERSION CHARTER SCHOOLS    ','HEAD CUSTODIAN I              ','CHARTER','BONUSES                       ','NO_LABEL',"'Operating, Not PreK-12'",nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL',nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,115.09999999999999,166286
574,nan,nan,'Extended Time & Tutoring','NON-PROJECT',nan,'ELA General Assignment ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','TA','NO_LABEL','GENERAL K-8 EDUCATION','School','School Reported','ELL','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,253.34647999999999,166352
575,nan,nan,'Professional Development','NON-PROJECT',nan,'(blank)','LEADERSHIP DEVELOPMENT','OTHER PURCHASED SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,329.63,166752
576,nan,nan,'Library & Media','NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','SCHOOL LIBRARY SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,546.5,166859
577,0.0,nan,'Professional Development',nan,'General Purpose School','ATHLETIC SUPPLEMENT/DEPT CHAIR',nan,'Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','CCOACH CERT TCHRACCT','Other','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',314.79990000000009,167123
578,nan,'Transportation Department','Other Compensation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','FIELD TRIPS',nan,nan,'transportation - Second Runs',129.34,167317
579,nan,'Transportation Department','Student Transportation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,'transportation - Second Runs',43.57,167726
580,nan,nan,'Insurance','School Leadership','Campus Activity Funds',nan,'School ','Insurance And Bonding Costs','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'Insurance And Bonding Costs',nan,nan,nan,nan,70.969999999999999,168729
581,nan,nan,'Professional Development','TITLE III  ELA',nan,"'Teacher, Elementary '",'ENGLISH FOR SPEAKERS OF OTHER','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','ELL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,35.794319999999999,168868
582,0.46999999999999997,nan,'Social & Emotional','GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-MIDDLE              ','School ','OTHER CERTIFIED               ','Base Salary/Compensation','PreK-12 Operating',nan,'Guidance Counselor','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,29314.291610799995,168954
583,1.0,'All Campus Payroll','Professional Development','Instruction','General Operating Fund','SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER MASTER','Instructional Coach','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','At Risk','State Ed. Allotment','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,55923.507146700002,169226
584,nan,nan,'Other Non-Compensation','ELPA - PRESCHOOL PROG',nan,'(blank)',nan,'OTHER SUPPLIES','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','PreK','EARLY CHILDHOOD','School','School Reported','ELL','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,69.169999999999987,169916
585,1.0,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,29407.378568599997,170822
586,nan,nan,'School Supervision','IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Leadership & Management','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,483.98000000000002,170915
587,1.0,nan,'Facilities & Maintenance',nan,nan,'CUSTODIAN',nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Custodian','NO_LABEL',nan,'School','School Reported','Unspecified','LOCAL',nan,nan,'CUSTODIAL SERVICES',nan,nan,48458.681706800002,170957
588,1.0,nan,'Security & Safety',nan,'General Fund','School Resource Officer','ADMIN. SERVICES',nan,'NO_LABEL','PreK-12 Operating','RESOURCE OFFICER (NO SUB REQD) ','Area Officers','NO_LABEL','Misc','Non-School','Shared Services','NO_LABEL',nan,nan,nan,nan,nan,nan,70142.530000000013,171160
589,nan,nan,'Enrichment','NON-PROJECT',nan,'Asst Coach ','ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Club Advisor/Coach','NO_LABEL','MALE ATHLETICS/SPORTS ACTIVITI','Non-School','School on Central Budgets','Unspecified','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,3307.12968,171271
590,nan,nan,'Aides Compensation','TUITION BASED - ECE',nan,'Early Childhood Education ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','TA','PreK','EARLY CHILDHOOD','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3609.48,171946
591,nan,nan,"'Finance, Budget, Purchasing & Distribution'",'Financial Accounting and Reporting Services','General',nan,nan,'Overtime *','Other Compensation/Stipend','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Fiscal Services','Non-Certificated Salaries And Wages','ACCOUNTS PAYABLE',nan,nan,nan,1703.8273800000006,171997
592,0.246992778389,nan,'NO_LABEL','NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE','NO_LABEL','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Non-Position','NO_LABEL','FOOD PREPARATION/SERVING','School','School Reported','NO_LABEL','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Charter',nan,4347.1247985299997,172128
593,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,'(blank)','DEPARTMENT OF TECHNOLOGY SERVI','MAINT MATERIALS','Other Non-Compensation','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','ITEMGG-CIO/CTO','n/a',nan,300.39999999999998,172873
594,0.0,nan,'Enrichment',nan,'General Purpose School','ATHLETIC SUPPLEMENT NCERT/NFAC',nan,'Personal Services - Teachers','Base Salary/Compensation','PreK-12 Operating','CONT COACH N-FACULTY','Club Advisor/Coach','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',6150.5900000000001,173226
595,nan,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, PRE-K BILINGUAL'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','PreK','PRE-K','School','School Reported','ELL','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4168.4073833299999,174804
596,nan,nan,'Physical Health & Services','NON-PROJECT',nan,'Physical Therapist ','PERSONNEL-PAID LEAVE','EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Physical Therapist','NO_LABEL','STAFF SERVICES','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,251.96000000000001,175738
597,nan,nan,'NO_LABEL','Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Contracted Food Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Contracted Craft Or Trade Services *','PARENT INVOLVEMENT',nan,nan,nan,-3323.2600000000002,175760
598,nan,nan,'Social & Emotional','STUDENT SERVICES/CHARTER SCHLS',nan,'Psychologist ','PSYCHOLOGICAL SERVICES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'STUDENTS','STUDENT SERVICES CHARTER SCHOO','n/a',nan,124.23999999999999,176070
599,nan,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,2.6600000000000001,176201
600,nan,nan,'Instructional Materials & Supplies','BASIC (FEFP K-12)             ','GENERAL FUND                  ',nan,'School ','TEXTBOOKS                     ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'LOCAL ALLOC SAI               ',nan,nan,nan,1926.28,176284
601,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Teacher Retirement','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','Accelerated Education','NO_LABEL','NO_LABEL','NO_LABEL',nan,'Teacher Retirement',nan,'Payroll',nan,'Multilingual Dist Prof Development',12.380000000000001,176349
602,nan,nan,'Enrichment','Instruction','Campus Activity Funds',nan,'School ','Miscellaneous Operating Costs','Other Compensation/Stipend','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Basic Educational Services','School','School Reported','Unspecified',nan,'Incentives (Participatory Activity)',nan,nan,nan,nan,1175.1600000000001,176676
603,0.99901812659799993,nan,'School Administration','NON-PROJECT',nan,"'Principal, High School '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Principal','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Turnaround',nan,118826.39878499998,176858
604,nan,nan,'NO_LABEL','NON-PROJECT',nan,'(blank)',nan,'PURCH MAINT SRVCS','NO_LABEL','Non-Operating','UNDESIGNATED','NO_LABEL','NO_LABEL','MAINTENANCE - HVAC','NO_LABEL','NO_LABEL','NO_LABEL','CAPITAL RESERVE FUND',nan,'OPERATION AND MAINT OF PLANT','MAINTENANCE','New/Closed Schl',nan,574.17000000000019,176895
605,0.0,nan,'Teacher Compensation',nan,'General Purpose School',nan,nan,'Personal Services - Extended Contracts','Other Compensation/Stipend','PreK-12 Operating','Career Ladder I/Ext Learning','Teacher','Non PreK','Instruction - CTE','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Career & Technical Instruction',2334.0700000000002,177051
606,0.0043103448275900007,nan,'Substitute Compensation','NON-PROJECT',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','School','School Reported','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Turnaround',nan,110.487938468,177443
607,nan,nan,'NO_LABEL','INSTRUCTION','General Fund',nan,nan,'RENTAL OF LAND OR BUILDINGS','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ','NO_LABEL','NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,739.22000000000003,177499
608,nan,nan,'Teacher Compensation','TITLE I',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,309.7700000000001,177708
609,nan,nan,'Physical Health & Services','MEDICAID',nan,'(blank)','SPECIAL EDUCATION','NON-CAPITAL EQUIPMENT','Equipment & Equipment Lease','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','SPECIAL EDUCATION','Non-School','Shared Services','Special Education','DISTRICT SPECIAL REVENUE FUNDS',nan,'SPECIAL EDUCATION','MEDICAID','n/a',nan,1312.53,177822
610,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','NON-CAPITAL EQUIPMENT','Equipment & Equipment Lease','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,3461.2800000000002,177963
611,nan,nan,'Teacher Compensation','TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','PreK','EARLY CHILDHOOD','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,540.83000000000004,178186
612,nan,nan,'Professional Development','TEACHER INCENTIVE FUND (TIF)',nan,"'Principal, Asst Middle Sch '",'TEACHER LEARNING & LEADERSHIP','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Vice Principal','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Leadership & Management','Unspecified','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TIF GRANT','n/a',nan,4932.4099999999999,178697
613,nan,nan,'School Supervision','NON-PROJECT',nan,"'Supt, Instructional '",'MS TEAM ','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Area Officers','NO_LABEL','EMPLOYEE BENEFITS','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-757.71000000000004,178756
614,nan,nan,'Enrichment','NON-PROJECT',nan,'Misc Fee Basis ','ATHLETICS & STUDENT ACTIVITIES','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','Other','NO_LABEL','MALE ATHLETICS/SPORTS ACTIVITI','Non-School','Leadership & Management','Unspecified','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,54.759999999999998,178977
615,0.0,nan,'Development & Fundraising',nan,'School Projects',nan,'District Wide Resources',"'Materials, Supplies, and Other'",'Travel & Conferences','PreK-12 Operating',nan,'Non-Position','Non PreK','Operations','Non-School','Leadership & Management','Unspecified',nan,nan,'School Coupon Books',nan,'Employee Travel',nan,1634.9400000000001,179182
616,1.0,nan,'Security & Safety',nan,'General Fund','School Resource Officer',nan,nan,'NO_LABEL','PreK-12 Operating','RESOURCE OFFICER (NO SUB REQD) ','Area Officers','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,12962.440000000001,179227
617,1.0,'SPEECH','Physical Health & Services',nan,'General Purpose School','TCHER SPEECH/LANGUAGE','District Wide Resources','Personal Services - Teachers','Base Salary/Compensation','PreK-12 Operating','TEACHER - S.E  DAYS','Speech Therapist','Non PreK','Instruction - SPED','Non-School','School on Central Budgets','Special Education',nan,nan,nan,nan,nan,'Special Education Instruction',62152.830000000002,179396
618,nan,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','DUES AND FEES                 ','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'GROWTH                        ',nan,nan,nan,1763.8599999999999,179621
619,nan,nan,'Utilities','NON-PROJECT',nan,'(blank)',nan,'ELECTRICITY','Rent/Utilities','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','Regular',nan,26926.75,180368
620,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','DUES AND FEES','Other Non-Compensation','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,1679.8699999999999,180401
621,nan,nan,'Facilities & Maintenance','MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Shared Services','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,4680.6000000000004,180707
622,1.0,nan,'School Administration',nan,'General Purpose School','SECRETARY  LIBRARY',nan,'Personal Services - Secretaries','Base Salary/Compensation','PreK-12 Operating','SCHOOL SECRETARY  DAYS','Sec/Clerk/Other Admin','Non PreK',"""Principal's Office""",'School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Office of Principal',30064.142979699998,180882
623,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Teacher Retirement','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','Accelerated Education','NO_LABEL','NO_LABEL','NO_LABEL',nan,'Teacher Retirement',nan,'Payroll',nan,'Reading',20.75,180884
624,nan,nan,'School Administration','NON-PROJECT',nan,'Secretary I ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','Sec/Clerk/Other Admin','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,569.69000000000005,180999
625,nan,nan,'Professional Development','FACILITATOR',nan,"'Facilitator, Sec Math/Sci '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Instructional Coach','NO_LABEL','INSTRUCT STAFF TRAINING MATH','School','School Reported','Unspecified','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'Alternative',nan,32.490000000000002,181031
626,nan,'Campus Overtime','Untracked Budget Set-Aside','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','Benefits','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK','Basic Educational Services','Non-School','School on Central Budgets','Unspecified','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',329.56,182688
627,nan,nan,'Career & Academic Counseling',"'""Guidance, Counseling And Evaluation Services""'",'Campus Activity Funds',nan,'School ','Miscellaneous Contracted Services','Contracted Services','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'Miscellaneous Contracted Services',nan,nan,nan,nan,424.27999999999997,183048
628,nan,nan,'Other Non-Compensation','NON-PROJECT',nan,'(blank)',nan,'INTERNAL CHARGE/REIMBUR ACCNTS','Other Non-Compensation','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,-367.31999999999999,183102
629,nan,nan,'Research & Accountability','BASIC (FEFP K-12)             ','GENERAL FUND                  ','COUNSELOR-ELEM                ','School ','ALL OTHER SUPPLEMENTS         ','Other Compensation/Stipend','PreK-12 Operating',nan,'Guidance Counselor','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,366.56999999999999,183416
630,nan,'Custodial Department','Facilities & Maintenance','Facilities Maintenance And Operations','General Operating Fund','CUSTODIAL SUPPORT SERVICES','Undistributed','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','ASST HEAD CUS MID AND INTR ','Custodian','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,nan,107.28,183913
631,0.0,nan,'Utilities',nan,'General Purpose School',nan,nan,'Utilities - Water and Waste Water','Rent/Utilities','PreK-12 Operating',nan,'Non-Position','Non PreK','Operations','School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,12945.049999999999,183967
632,nan,nan,'Untracked Budget Set-Aside','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Capital Outlay','Equipment & Equipment Lease','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Shared Services','Unspecified','Support Services - Instructional Staff','Capital Outlay','-  ALL CITY',nan,nan,nan,4999.6599999999999,184116
633,0.42469277258900001,nan,'Food Services','NON-PROJECT',nan,'Truck Driver ','FOOD AND NUTRITION SERVICES','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD SERVICES WAREHOUSE','Non-School','School on Central Budgets','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,20228.317482099999,184398
634,nan,nan,'Student Assignment','ATTENDANCE AND SOCIAL WORK    ','GENERAL FUND                  ',nan,'STUDENT SERVICES              ','OUT OF COUNTY TRAVEL          ','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'STUDENT SERVICES              ',nan,nan,nan,357.03000000000014,184461
635,nan,nan,'NO_LABEL','Other Executive Administration Services*','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Administration','Non-Certificated Salaries And Wages','SUMMER SCHOOL ',nan,nan,nan,-2991.6100000000001,184783
636,0.029633620689699998,nan,'Extended Time & Tutoring','EXCELERATOR SCHOOLS',nan,"'Tutor, Avid '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','AVID','School','School Reported','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION','CHIEF ACADEMIC OFFICER','Regular',nan,630.79570497900011,184864
637,nan,nan,'Student Transportation','NON-PROJECT',nan,'Bus Driver - Relief ','GARAGE','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','Non-School','Shared Services','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-24.030000000000001,185042
