,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
496,0.875,nan,nan,nan,"'EDUCATIONAL AIDE,70 HRS.'",nan,nan,nan,nan,'LOCAL',nan,nan,'EARLY CHILDHOOD EDUCATION',nan,nan,33068.64827
497,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Other Compensation','Career Ladder I/Ext Learning','Instruction - SPED',nan,nan,nan,nan,nan,'Special Education Instruction',518.46
498,nan,nan,'EMPLOYEE RETIREMENT',nan,'Early Childhood Education ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,278.99
499,0.89,'Warehousing','Facilities Maintenance And Operations','General Operating Fund',"'CLERICAL,WAREHOUSE/RECEIVING'",'Undistributed','Salaries Or Wages For Support Personnel','CO CLERICAL','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,24230.69262
500,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'PURCHASED FOOD',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,9577.98
501,0.46,nan,nan,nan,'Occupational Therapist','EARLY STAGES',nan,nan,nan,'LOCAL',nan,nan,'EARLY STAGES',nan,nan,32789.40237
502,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, GIFTED               '",'School ','ALL OTHER SUPPLEMENTS         ',nan,nan,nan,nan,nan,nan,nan,nan,281.62
503,0.2,nan,nan,'General Fund','Physical Therapist',nan,nan,'PHYSICAL THERAPIST ','SPECIAL EDUCATION CATEGORY V',nan,nan,nan,nan,nan,nan,16576.42
504,nan,nan,'NON-PROJECT',nan,'Campus Security Officer ',nan,'EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','SCHOOL SECURITY','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','Regular',nan,141.63
505,0.025,nan,nan,nan,'Aide (Afterschool)','OFC COM & ED PROG-AFTER SCHOOL AIDES',nan,nan,nan,"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,779.99
506,nan,'Instruction and Curriculum','Curriculum Development And Instructional Staff Dev','General Operating Fund','SKILLS SPECIALIST','Undistributed','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Undistributed','Operations','Extra Duty Wages','MISCELLANEOUS ',nan,nan,'Undistributed',26.07717765
507,nan,nan,'INST STAFF TRAINING SVCS      ','FED THRU STATE-CASH ADVANCE   ',"'TEACHER, LANG ARTS-HIGH       '",'School ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,'TITLE II PART A               ',nan,nan,nan,224.49
508,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,29407.37857
509,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev','Esea Title Ii Part A Teacher & Principal Training',"'TEACHER, BILINGUAL EDUCATION'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Accelerated Education','Training And Recruiting','Extra Duty Wages','MISCELLANEOUS ',nan,nan,nan,1043.148901
510,1,nan,'Security Services','Other Grants','SECURITY OFFICER','IN SECURITY','Regular *',nan,nan,'Operation and Maintenance of Plant Services',nan,'ACADEMY','SAFETY',nan,nan,27233.15
511,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,2.09
512,nan,nan,'NON-PROJECT',nan,'Bus Driver  to  Yrs ','GARAGE','SALARIES FOR OVERTIME',"'CRAFTS, TRADES, AND SERVICES'",'TRANSPORTATION-OPERATIONS','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,11.862
513,nan,nan,'READ TO ACHIEVE ROUND THREE',nan,'(blank)',nan,'OTHER PROFESSIONAL SERVICES','UNDESIGNATED','GENERAL ELEMENTARY EDUCATION','STATE AND LOCAL GDPG FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,26986.01
514,nan,nan,'SPECIAL ED. - SEVERE NEEDS',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SPECIAL ED-S/L-CHILD FIND','GENERAL FUND',nan,'SPECIAL EDUCATION',nan,'n/a',nan,215.93
515,0.487242676,nan,'TITLE VI-IDEA B-MAIN',nan,"'Dir, Special Education '",'SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,67698.27432
516,nan,'Athletic Department','Extracurricular Activities','General Operating Fund',"'TEACHER, REGULAR'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','ATHLETIC OPTIONAL PAY','Athletics And Related Activities','Operations','Extra Duty Pay/Overtime For Support Personnel','GAME WORK',nan,nan,'Game Workers',272.9707693
517,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,4680.6
518,0.750874899,nan,'ATTENDANCE AND SOCIAL WORK    ','FED THRU STATE-CASH ADVANCE   ','SOCIAL WORKER                 ','STUDENT SERVICES              ','OTHER CERTIFIED               ',nan,nan,nan,nan,'IDEA  PART B                  ',nan,nan,nan,42639.98415
519,nan,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ',nan,'School ','CONFERENCE REGISTRATION       ',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,299.19
520,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.23672
521,nan,nan,'NON-PROJECT',nan,"'Principal, Asst Middle Sch '",nan,'EMPLOYEE BENEFITS','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,4547.9
522,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'OTHER PURCHASED SERVICES','UNDESIGNATED','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,175.32
523,nan,nan,'EDUCATIONAL MEDIA SERVICE','General Fund',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE',nan,'MEDIA CENTERS','MEDIA CENTERS',nan,nan,nan,nan,nan,960.85
524,nan,nan,'NON-PROJECT',nan,'(blank)','LEADERSHIP DEVELOPMENT','OTHER PURCHASED SERVICES','UNDESIGNATED','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,329.63
525,nan,nan,'NON-PROJECT',nan,'School Community Liaison ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Turnaround',nan,181.46296
526,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Undistributed','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','OVERTIME',nan,nan,'Transportation - Bus Drivers',18.41
527,0.06,'Instruction And Curriculum','Instruction','State Deaf Education',"'TEACHER, SPEC.ED, PRE-K'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','PRE-K','State Deaf Education','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Regular Salary',4979.745517
528,nan,nan,'EMPLOYEE RETIREMENT',nan,"'Teacher, Short Term Sub '",nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,13.22
529,nan,nan,'NON-PROJECT',nan,'Custodian-Part Time ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-36.5
530,0.44,'All Campus Payroll','Instructional Resources And Media Services','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',28641.74542
531,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Week','MISCELLANEOUS ',nan,nan,nan,103.8717995
532,0.004310345,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,129.3649849
533,nan,nan,'CORE MATTERS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,10.9
534,nan,nan,'NON-PROJECT',nan,'Early Childhood Education ','HUMAN RESOURCES','EMPLOYEE BENEFITS','PARAPROFESSIONAL','STAFF SERVICES','LEVY OVERRIDE',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,20.83
535,nan,nan,'NON-PROJECT',nan,'Psychologist ',nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,100.41
536,nan,'Instruction And Curriculum','Instruction','Title Iii Part A - Lep',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Bilingual Education And Special Language Programs','Title Iii Part A - Lep','Extended Day','EXTENDED DAYS',nan,nan,nan,33.47996826
537,0.645040026,nan,'TITLE I',nan,'General Assignment ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,10755.45916
538,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplies and Materials',nan,nan,'Community Services','Supplies And Materials',' ARRA PI/HOMELESS',nan,nan,nan,78.85
539,0.0390625,nan,'TITLE III  ELA',nan,'ELA Reading & Writing Para ','MULTILINGUAL OUTREACH','SALARIES OF PART TIME EMPLOYEE','OFFICE/ADMINISTRATIVE SUPPORT','SUPPORT SERVICES-INSTRUCTIONAL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','MULTILINGUAL OUTREACH','n/a',nan,774.4721887
540,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','BUS DRIVER                    ','TRANSPORTATION                ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,nan,nan,nan,nan,91.844
541,nan,nan,nan,nan,'EXTRA CURRICULAR SPO',nan,'Extracurricular Supp',nan,nan,nan,nan,nan,nan,nan,nan,1831.22
542,0,nan,nan,'Central Cafeteria',nan,nan,'Food Services - Maintenance - Contracted Services',nan,'Food Services',nan,nan,nan,nan,nan,nan,13610.86
543,0.990373347,nan,'NON-PROJECT',nan,'Office Support II ','ADMISSIONS AND STUDENT RECORDS','SALARIES OF REGULAR EMPLOYEES','OFFICE/ADMINISTRATIVE SUPPORT','STUDENT RECORDS','GENERAL FUND',nan,'STUDENTS','PUPIL RECORDS','n/a',nan,43317.82752
544,nan,nan,'IMPROVEMENT OF INSTR SERV','RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12',nan,'ADMIN. SERVICES','PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES',nan,'RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12','SMALLER LEARNING COMMUNITIES',nan,nan,nan,nan,nan,nan
545,nan,nan,'TITLE I',nan,'Sr. Computer Lab Tech ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,108.6
546,nan,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','PRINCIPAL-MIDDLE              ','School ','BONUSES                       ',nan,nan,nan,nan,'SCHOOL RECOGNITION            ',nan,nan,nan,544.41
547,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'CLASSROOM AIDE, REGULAR'",'Summer School','Salaries Or Wages For Support Personnel','AIDE',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Salaries Or Wages For Support Personnel','EXTENDED YEAR',nan,nan,nan,351.22
548,nan,nan,'TUITION BASED - ECE',nan,"'Teacher, Elementary '",'EARLY CHILDHOOD EDUCATION','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','EARLY EDUCATION','n/a',nan,48.90512
549,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','EXTENDED DAYS',nan,nan,'transportation - Second Runs',63.65
550,1.000024552,nan,'EMPLOYEE BENEFITS',nan,"'Manager, Benefits/WC '",'EMPLOYEE BENEFITS','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL','EMPLOYEE BENEFITS','n/a',nan,89416.34057
551,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,156.6945577
552,nan,nan,'EDUCATIONAL MEDIA SERVICE','General Fund',nan,nan,'SUPPLIES',nan,'MEDIA CENTERS','MEDIA CENTERS',nan,nan,nan,nan,nan,32.02
553,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,'transportation - Second Runs',30.28
554,nan,nan,' CENTURY CLASSROON COLLABO',nan,'(blank)',nan,'NON-CAPITAL EQUIPMENT','UNDESIGNATED','ENGLISH LANGUAGE ARTS','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,6261.65
555,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, BILINGUAL EDUCATION'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Week','MISCELLANEOUS ',nan,nan,nan,nan
556,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'VOCATIONAL LABORATORY PROGRAM 9-12','VOCATIONAL LABORATORY PROGRAM 9-12',nan,nan,nan,nan,nan,1586.03
557,nan,nan,'NON-PROJECT',nan,'Bus Driver - Regular ','GARAGE','EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'TRANSPORTATION-OPERATIONS','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,905.03
558,1,nan,nan,'General Fund','Building Custodian II',nan,nan,'BUILDING CUSTODIAN ','Misc',nan,nan,nan,nan,nan,nan,47625.08
559,1.000025922,nan,'SPECIAL ED. - MILD/MODERATE',nan,'Teacher',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-CONVERSION','GENERAL FUND',nan,'SPECIAL EDUCATION',nan,'Regular',nan,89543.86467
560,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ',nan,'School ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,'BAND                          ',nan,nan,nan,53.4775
561,nan,nan,nan,'LOCAL FUND',nan,nan,'HARDWARE',"'PURCHASED ASSETS, MINOR EQUIP & RENTAL'",'INSTRUCTIONAL PROGRAMS','LOCAL',nan,nan,'INSTRUCTIONAL TECH AND SYSTEM SUPPORT',nan,nan,2499.76
562,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Extended Contracts','Career Ladder I/Ext Learning','Instruction - CTE',nan,nan,nan,nan,nan,'Career & Technical Instruction',2334.07
563,1,nan,nan,'General Fund','Cluster School Nurse',nan,nan,'NURSE','NURSES',nan,nan,nan,nan,nan,nan,75370.39
564,nan,nan,'NON-PROJECT',nan,'Occupational Therapist ','SPECIAL EDUCATION','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-154.71
565,nan,nan,'NON-PROJECT',nan,"'Teacher, Elementary '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,23.85256
566,nan,"'BOARD MEMBER, DISTRICT       '",'BOARD                         ','GENERAL FUND                  ',nan,'BOARD                         ','DUES AND FEES                 ',nan,nan,nan,nan,'BOARD                         ',nan,nan,nan,25.6
567,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','SUPPLIES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,483.98
568,nan,nan,'TITLE III  ELA',nan,"'Teacher, Elementary '",'ENGLISH FOR SPEAKERS OF OTHER','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,35.79432
569,nan,'Instruction And Curriculum','Instruction','Idea Part B Formula',nan,'School ','General Supplies',nan,'Services To Students With Disabilities (Special Education)',nan,'General Supplies',nan,'SUPPLIES & MATERIALS',nan,'Supp and Materials that do not require specific approval',582.95
570,nan,'All Campus Payroll','Instruction','General Operating Fund','SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,3127.386714
571,nan,nan,'ELPA - PRESCHOOL PROG',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1317.06648
572,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, KINDERGARTEN'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','PRE-K','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,-904.8129353
573,nan,nan,'PUPIL PERSONNEL SERVICES      ','FED THRU STATE-CASH ADVANCE   ',nan,'FED COMPENSATORY ED PROG      ','IN-COUNTY TRAVEL              ',nan,nan,nan,nan,'TITLE I  DELINQUENT           ',nan,nan,nan,195.22
574,nan,nan,nan,'LOCAL FUND',nan,'ARTS CENTER','SUNDAY PAY','ADDITIONAL GROSS PAY','NON-INSTRUCTIONAL SUPPORT SERVICES','LOCAL',nan,nan,'PUBLIC UTILITIES',nan,nan,251.64
575,1,nan,nan,'General Purpose School','TCHER 1ST GRADE',nan,'Personal Services - Teachers','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',60310.92
576,0.004310345,nan,'TITLE I A - ARRA',nan,"'Teacher,Retrd Shrt Term Sub '",'TEACHER LEARNING & LEADERSHIP','SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,128.5349849
577,1,'Custodial Department','Facilities Maintenance And Operations','General Operating Fund','CUSTODIAN REGULAR','School ','Salaries Or Wages For Support Personnel','ANY CUS WHO IS NOT A SUPER ','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,20468.0534
578,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Support Personnel','CERTIFIED SUBSTITUTE','PRE-K','Operations','Substitutes for Support Personnel','REGULAR PAY',nan,nan,nan,204.7949677
579,nan,'All Campus Payroll','Instruction','General Operating Fund','GIFTED AND TALENTED TEACHERS','School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Gifted And Talented','Operations','Salaries And Wages For Teachers And Other Professi','MISCELLANEOUS ',nan,nan,nan,130.8166335
580,nan,nan,'NON-PROJECT',nan,'Misc Fee Basis ','ATHLETICS & STUDENT ACTIVITIES','SALARIES OF PART TIME EMPLOYEE','OFFICE/ADMINISTRATIVE SUPPORT','FEMALE ATHLETICS/SPORTS ACTIVI','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,391.302
581,nan,nan,'NON-PROJECT',nan,'(blank)','DEPARTMENT OF TECHNOLOGY SERVI','MAINT MATERIALS','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','ITEMGG-CIO/CTO','n/a',nan,300.4
582,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL K-8 EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3730.44296
583,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'FACILITY-EMPAC MAINT MATERIALS','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','CAPITAL RESERVE FUND',nan,'OPERATION AND MAINT OF PLANT','MAINTENANCE','Regular',nan,208.09
584,0,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,200.39
585,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','CCOACH CERT TCHRACCT','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',229.92
586,nan,nan,'ELPA - PRESCHOOL PROG',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,515.77
587,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,29265.66
588,nan,nan,'VOCATIONAL (K-12)             ','GENERAL FUND                  ',"'TEACHER, BUSINESS TECH ED     '",'School ','SUPPLIES                      ',nan,nan,nan,nan,'TEACHER LEAD                  ',nan,nan,nan,185.19
589,nan,nan,'INSTRUCTION','General Fund',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,149.86
590,nan,nan,'Other Support Services - Pupils','Miscellaneous Federal Grants',nan,nan,'Office Supplies',nan,nan,'Support Services--Pupils','General Supplies *','CHILD CARE',nan,nan,nan,-2048.98
591,nan,nan,'NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SCHOOL LIBRARY SERVICES','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,546.5
592,1,nan,nan,nan,'CUSTODIAN',nan,nan,nan,nan,'LOCAL',nan,nan,'CUSTODIAL SERVICES',nan,nan,48458.68171
593,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental Textbooks',nan,nan,'Special Instruction','Textbooks *','ESEA TITLE I',nan,nan,nan,-1868.7
594,1,'All Campus Payroll','School Leadership','General Operating Fund',"'CLERICAL, SCHOOL ADMIN.'",'School ','Salaries Or Wages For Support Personnel','REGISTRAR','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Undistributed',29672.55975
595,0.79,nan,'Service Area Direction*','General','PROFESSIONAL DRIVER','OPERATIONS OFFICE','Regular *',nan,nan,'Support Services - Pupil Transportation',nan,'TRANSPORTATION DEPOTS','TRANSPORT',nan,nan,34741.24427
596,0.583345697,nan,'DISTRICT COMMUNITY RELATIONS',nan,'Project Coordinator ','DISTRICT COMMUNITY RELATIONS','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','COMMUNITY RELATIONS','GENERAL FUND',nan,'GENERAL ADMINISTRATION','COMMUNITY RELATIONS','n/a',nan,25553.85203
597,nan,nan,"'Food Purchasing, Preparation And Dispensing Services *'",'Food Services',nan,nan,'Fuel',nan,nan,'Food Service Operations','Supplies And Materials For Operation And Repair Of Motor','ELEM LUNCH',nan,nan,nan,53028.96
598,nan,nan,'TITLE I A - ARRA',nan,"'Student Advisor, High Sch '",'SUMMER SCHOOL - HIGH SCHOOLS','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','ARRA - STIMULUS',nan,'REGULAR INSTRUCTION',nan,'n/a',nan,1910.27808
599,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'SUPPLIES',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,107.31
